DATE,DTB3
1/4/2016,0.22 
1/5/2016,0.20 
1/6/2016,0.21 
1/7/2016,0.20 
1/8/2016,0.20 
1/11/2016,0.21 
1/12/2016,0.21 
1/13/2016,0.22 
1/14/2016,0.25 
1/15/2016,0.23 
1/18/2016,0.00 
1/19/2016,0.26 
1/20/2016,0.26 
1/21/2016,0.28 
1/22/2016,0.30 
1/25/2016,0.31 
1/26/2016,0.31 
1/27/2016,0.32 
1/28/2016,0.34 
1/29/2016,0.32 
2/1/2016,0.35 
2/2/2016,0.34 
2/3/2016,0.33 
2/4/2016,0.29 
2/5/2016,0.29 
2/8/2016,0.32 
2/9/2016,0.30 
2/10/2016,0.31 
2/11/2016,0.28 
2/12/2016,0.29 
2/15/2016,0.00 
2/16/2016,0.30 
2/17/2016,0.30 
2/18/2016,0.30 
2/19/2016,0.30 
2/22/2016,0.33 
2/23/2016,0.32 
2/24/2016,0.33 
2/25/2016,0.32 
2/26/2016,0.32 
2/29/2016,0.33 
3/1/2016,0.33 
3/2/2016,0.35 
3/3/2016,0.27 
3/4/2016,0.28 
3/7/2016,0.32 
3/8/2016,0.29 
3/9/2016,0.30 
3/10/2016,0.31 
3/11/2016,0.32 
3/14/2016,0.34 
3/15/2016,0.34 
3/16/2016,0.31 
3/17/2016,0.29 
3/18/2016,0.29 
3/21/2016,0.31 
3/22/2016,0.30 
3/23/2016,0.30 
3/24/2016,0.29 
3/25/2016,0.00 
3/28/2016,0.29 
3/29/2016,0.23 
3/30/2016,0.20 
3/31/2016,0.21 
4/1/2016,0.23 
4/4/2016,0.23 
4/5/2016,0.23 
4/6/2016,0.23 
4/7/2016,0.23 
4/8/2016,0.23 
4/11/2016,0.23 
4/12/2016,0.22 
4/13/2016,0.23 
4/14/2016,0.22 
4/15/2016,0.22 
4/18/2016,0.22 
4/19/2016,0.21 
4/20/2016,0.23 
4/21/2016,0.23 
4/22/2016,0.23 
4/25/2016,0.25 
4/26/2016,0.24 
4/27/2016,0.24 
4/28/2016,0.22 
4/29/2016,0.22 
5/2/2016,0.22 
5/3/2016,0.21 
5/4/2016,0.19 
5/5/2016,0.20 
5/6/2016,0.19 
5/9/2016,0.24 
5/10/2016,0.24 
5/11/2016,0.26 
5/12/2016,0.27 
5/13/2016,0.28 
5/16/2016,0.28 
5/17/2016,0.28 
5/18/2016,0.30 
5/19/2016,0.30 
5/20/2016,0.32 
5/23/2016,0.35 
5/24/2016,0.35 
5/25/2016,0.33 
5/26/2016,0.30 
5/27/2016,0.31 
5/30/2016,0.00 
5/31/2016,0.34 
6/1/2016,0.30 
6/2/2016,0.28 
6/3/2016,0.29 
6/6/2016,0.28 
6/7/2016,0.28 
6/8/2016,0.24 
6/9/2016,0.25 
6/10/2016,0.25 
6/13/2016,0.27 
6/14/2016,0.27 
6/15/2016,0.26 
6/16/2016,0.27 
6/17/2016,0.26 
6/20/2016,0.28 
6/21/2016,0.27 
6/22/2016,0.27 
6/23/2016,0.30 
6/24/2016,0.26 
6/27/2016,0.27 
6/28/2016,0.26 
6/29/2016,0.26 
6/30/2016,0.26 
7/1/2016,0.27 
7/4/2016,0.00 
7/5/2016,0.28 
7/6/2016,0.27 
7/7/2016,0.29 
7/8/2016,0.27 
7/11/2016,0.31 
7/12/2016,0.29 
7/13/2016,0.31 
7/14/2016,0.31 
7/15/2016,0.31 
7/18/2016,0.32 
7/19/2016,0.31 
7/20/2016,0.32 
7/21/2016,0.31 
7/22/2016,0.32 
7/25/2016,0.32 
7/26/2016,0.31 
7/27/2016,0.31 
7/28/2016,0.25 
7/29/2016,0.27 
8/1/2016,0.29 
8/2/2016,0.29 
8/3/2016,0.28 
8/4/2016,0.26 
8/5/2016,0.27 
8/8/2016,0.31 
8/9/2016,0.29 
8/10/2016,0.28 
8/11/2016,0.28 
8/12/2016,0.28 
8/15/2016,0.31 
8/16/2016,0.27 
8/17/2016,0.30 
8/18/2016,0.29 
8/19/2016,0.29 
8/22/2016,0.29 
8/23/2016,0.30 
8/24/2016,0.31 
8/25/2016,0.33 
8/26/2016,0.33 
8/29/2016,0.33 
8/30/2016,0.33 
8/31/2016,0.33 
9/1/2016,0.33 
9/2/2016,0.32 
9/5/2016,0.00 
9/6/2016,0.32 
9/7/2016,0.34 
9/8/2016,0.34 
9/9/2016,0.34 
9/12/2016,0.37 
9/13/2016,0.36 
9/14/2016,0.33 
9/15/2016,0.29 
9/16/2016,0.29 
9/19/2016,0.30 
9/20/2016,0.30 
9/21/2016,0.22 
9/22/2016,0.18 
9/23/2016,0.18 
9/26/2016,0.25 
9/27/2016,0.26 
9/28/2016,0.27 
9/29/2016,0.26 
9/30/2016,0.28 
10/3/2016,0.32 
10/4/2016,0.33 
10/5/2016,0.32 
10/6/2016,0.32 
10/7/2016,0.32 
10/10/2016,0.00 
10/11/2016,0.35 
10/12/2016,0.36 
10/13/2016,0.29 
10/14/2016,0.31 
10/17/2016,0.34 
10/18/2016,0.34 
10/19/2016,0.34 
10/20/2016,0.34 
10/21/2016,0.33 
10/24/2016,0.33 
10/25/2016,0.34 
10/26/2016,0.33 
10/27/2016,0.29 
10/28/2016,0.29 
10/31/2016,0.34 
11/1/2016,0.35 
11/2/2016,0.36 
11/3/2016,0.37 
11/4/2016,0.37 
11/7/2016,0.41 
11/8/2016,0.43 
11/9/2016,0.44 
11/10/2016,0.47 
11/11/2016,0.00 
11/14/2016,0.54 
11/15/2016,0.50 
11/16/2016,0.46 
11/17/2016,0.43 
11/18/2016,0.43 
11/21/2016,0.46 
11/22/2016,0.48 
11/23/2016,0.50 
11/24/2016,0.00 
11/25/2016,0.48 
11/28/2016,0.48 
11/29/2016,0.48 
11/30/2016,0.48 
12/1/2016,0.47 
12/2/2016,0.48 
12/5/2016,0.49 
12/6/2016,0.49 
12/7/2016,0.51 
12/8/2016,0.50 
12/9/2016,0.53 
12/12/2016,0.51 
12/13/2016,0.54 
12/14/2016,0.54 
12/15/2016,0.50 
12/16/2016,0.50 
12/19/2016,0.52 
12/20/2016,0.52 
12/21/2016,0.51 
12/22/2016,0.50 
12/23/2016,0.51 
12/26/2016,0.00 
12/27/2016,0.51 
12/28/2016,0.52 
12/29/2016,0.46 
12/30/2016,0.50 
