,PERMNO,date,TICKER,COMNAM,PERMCO,PRC,RET,MrkRet
0,10107,20160104,MSFT,MICROSOFT CORP,8048,54.8,-0.01,-0.015518
1,10107,20160105,MSFT,MICROSOFT CORP,8048,55.05,0.0,0.000584
2,10107,20160106,MSFT,MICROSOFT CORP,8048,54.05,-0.02,-0.014295
3,10107,20160107,MSFT,MICROSOFT CORP,8048,52.17,-0.03,-0.023559
4,10107,20160108,MSFT,MICROSOFT CORP,8048,52.33,0.0,-0.010427
5,10107,20160111,MSFT,MICROSOFT CORP,8048,52.3,0.0,0.003614
6,10107,20160112,MSFT,MICROSOFT CORP,8048,52.78,0.01,0.006836
7,10107,20160113,MSFT,MICROSOFT CORP,8048,51.64,-0.02,-0.021825
8,10107,20160114,MSFT,MICROSOFT CORP,8048,53.11,0.03,0.013883
9,10107,20160115,MSFT,MICROSOFT CORP,8048,50.99,-0.04,-0.023376
10,10107,20160119,MSFT,MICROSOFT CORP,8048,50.56,-0.01,0.002129
11,10107,20160120,MSFT,MICROSOFT CORP,8048,50.79,0.0,-0.015061
12,10107,20160121,MSFT,MICROSOFT CORP,8048,50.48,-0.01,0.006281
13,10107,20160122,MSFT,MICROSOFT CORP,8048,52.29,0.04,0.013808
14,10107,20160125,MSFT,MICROSOFT CORP,8048,51.79,-0.01,-0.012998
15,10107,20160126,MSFT,MICROSOFT CORP,8048,52.17,0.01,0.017895
16,10107,20160127,MSFT,MICROSOFT CORP,8048,51.22,-0.02,-0.013866
17,10107,20160128,MSFT,MICROSOFT CORP,8048,52.055,0.02,0.007596
18,10107,20160129,MSFT,MICROSOFT CORP,8048,55.09,0.06,0.024048
19,10107,20160201,MSFT,MICROSOFT CORP,8048,54.71,-0.01,-0.000183
20,10107,20160202,MSFT,MICROSOFT CORP,8048,53.0,-0.03,-0.017829
21,10107,20160203,MSFT,MICROSOFT CORP,8048,52.16,-0.02,0.01109
22,10107,20160204,MSFT,MICROSOFT CORP,8048,52.0,0.0,0.00576
23,10107,20160205,MSFT,MICROSOFT CORP,8048,50.16,-0.04,-0.013403
24,10107,20160208,MSFT,MICROSOFT CORP,8048,49.41,-0.01,-0.009818
25,10107,20160209,MSFT,MICROSOFT CORP,8048,49.28,0.0,-0.000686
26,10107,20160210,MSFT,MICROSOFT CORP,8048,49.71,0.01,-0.005305
27,10107,20160211,MSFT,MICROSOFT CORP,8048,49.69,0.0,-0.016249
28,10107,20160212,MSFT,MICROSOFT CORP,8048,50.5,0.02,0.020281
29,10107,20160216,MSFT,MICROSOFT CORP,8048,51.09,0.02,0.013877
30,10107,20160217,MSFT,MICROSOFT CORP,8048,52.42,0.03,0.016831
