Trdmnt	Cmretwdeq
2005/1/1	-0.070978
2005/2/1	0.107308
2005/3/1	-0.124861
2005/4/1	-0.071372
2005/5/1	-0.041038
2005/6/1	0.001883
2005/7/1	-0.064152
2005/8/1	0.15716
2005/9/1	0.028008
2005/10/1	-0.059241
2005/11/1	0.012967
2005/12/1	0.027481
2006/1/1	0.089007
2006/2/1	0.032763
2006/3/1	0.011796
2006/4/1	0.0887
2006/5/1	0.265623
2006/6/1	0.068953
2006/7/1	-0.0258
2006/8/1	0.031386
2006/9/1	0.056025
2006/10/1	-0.000662
2006/11/1	0.043571
2006/12/1	0.058109
2007/1/1	0.246623
2007/2/1	0.193729
2007/3/1	0.196928
2007/4/1	0.346453
2007/5/1	0.102889
2007/6/1	-0.154039
2007/7/1	0.234244
2007/8/1	0.134133
2007/9/1	0.044138
2007/10/1	-0.087763
2007/11/1	-0.069003
2007/12/1	0.204267
2008/1/1	-0.066353
2008/2/1	0.083884
2008/3/1	-0.191956
2008/4/1	-0.037997
2008/5/1	-0.033138
2008/6/1	-0.247813
2008/7/1	0.088703
2008/8/1	-0.226055
2008/9/1	-0.082011
2008/10/1	-0.255566
2008/11/1	0.19239
2008/12/1	0.07724
2009/1/1	0.157394
2009/2/1	0.08893
2009/3/1	0.223024
2009/4/1	0.076364
2009/5/1	0.071731
2009/6/1	0.088737
2009/7/1	0.148047
2009/8/1	-0.15897
2009/9/1	0.045235
2009/10/1	0.120721
2009/11/1	0.146828
2009/12/1	0.025708
2010/1/1	-0.032345
2010/2/1	0.066523
2010/3/1	0.042699
2010/4/1	-0.070492
2010/5/1	-0.085053
2010/6/1	-0.092684
2010/7/1	0.152968
2010/8/1	0.091707
2010/9/1	0.014685
2010/10/1	0.092551
2010/11/1	0.008053
2010/12/1	-0.0194
2011/1/1	-0.049277
2011/2/1	0.097416
2011/3/1	-0.005443
2011/4/1	-0.029671
2011/5/1	-0.073427
2011/6/1	0.037579
2011/7/1	0.021129
2011/8/1	-0.028933
2011/9/1	-0.117144
2011/10/1	0.03965
2011/11/1	-0.044145
2011/12/1	-0.155997
2012/1/1	0.007288
2012/2/1	0.130467
2012/3/1	-0.072395
2012/4/1	0.075331
2012/5/1	0.020294
2012/6/1	-0.064925
2012/7/1	-0.092077
2012/8/1	0.019197
2012/9/1	0.01457
2012/10/1	0.00558
2012/11/1	-0.108443
2012/12/1	0.166233
2013/1/1	0.065083
2013/2/1	0.043567
2013/3/1	-0.033948
2013/4/1	-0.032165
2013/5/1	0.13469
2013/6/1	-0.163374
2013/7/1	0.062773
2013/8/1	0.092286
2013/9/1	0.048109
2013/10/1	-0.020632
2013/11/1	0.071771
2013/12/1	-0.03295
2014/1/1	0.005079
2014/2/1	0.043985
2014/3/1	-0.017824
2014/4/1	-0.012822
2014/5/1	0.024008
2014/6/1	0.040563
2014/7/1	0.092952
2014/8/1	0.060615
2014/9/1	0.143076
2014/10/1	0.023014
2014/11/1	0.063455
2014/12/1	-0.010609
2015/1/1	0.072194
2015/2/1	0.07249
2015/3/1	0.224049
2015/4/1	0.189475
2015/5/1	0.270192
2015/6/1	-0.076295
2015/7/1	-0.166447
2015/8/1	-0.131148
2015/9/1	-0.05459
2015/10/1	0.218789
2015/11/1	0.108848
2015/12/1	0.076944
2016/1/1	-0.287122
2016/2/1	-0.012831
2016/3/1	0.184688
2016/4/1	-0.000971
2016/5/1	-0.018931
2016/6/1	0.054891
2016/7/1	0.010287
2016/8/1	0.053706
2016/9/1	-0.003338
2016/10/1	0.04209
2016/11/1	0.037181
2016/12/1	-0.034747
2017/1/1	-0.017722
2017/2/1	0.052976
2017/3/1	-0.015306
2017/4/1	-0.056799
2017/5/1	-0.076485
2017/6/1	0.041879
2017/7/1	0.003885
2017/8/1	0.038274
2017/9/1	0.010294
2017/10/1	-0.010664
2017/11/1	-0.063171
2017/12/1	-0.016772
2018/1/1	-0.021678
2018/2/1	-0.055965
2018/3/1	0.036972
2018/4/1	-0.043649
2018/5/1	-0.004017
2018/6/1	-0.111839
2018/7/1	0.004758
2018/8/1	-0.081362
2018/9/1	-0.00474
2018/10/1	-0.093702
2018/11/1	0.054891
2018/12/1	-0.042101
2019/1/1	-0.01636
2019/2/1	0.217512
2019/3/1	0.105556
2019/4/1	-0.037177
2019/5/1	-0.053466
2019/6/1	0.003473
2019/7/1	-0.019294
2019/8/1	-0.015267
2019/9/1	0.01272
2019/10/1	-0.006705
2019/11/1	-0.018566
2019/12/1	0.079782
2020/1/1	-0.004722
