1,2,Oilseed farming,Grain farming,Vegetable and melon farming,Fruit and tree nut farming,"Greenhouse, nursery, and floriculture production",Other crop farming,Dairy cattle and milk production,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",Poultry and egg production,"Animal production, except cattle and poultry and eggs",Forestry and logging,"Fishing, hunting and trapping",Support activities for agriculture and forestry,Oil and gas extraction,Coal mining,"Copper, nickel, lead, and zinc mining","Iron, gold, silver, and other metal ore mining",Stone mining and quarrying,Other nonmetallic mineral mining and quarrying,Drilling oil and gas wells,Other support activities for mining,"Electric power generation, transmission, and distribution",Natural gas distribution,"Water, sewage and other systems",Health care structures,Educational and vocational structures,Nonresidential maintenance and repair,Residential maintenance and repair,Office and commercial structures,Multifamily residential structures,Other residential structures,Manufacturing structures,Other nonresidential structures,Power and communication structures,Single-family residential structures,Transportation structures and highways and streets,Sawmills and wood preservation,"Veneer, plywood, and engineered wood product manufacturing",Millwork,All other wood product manufacturing,Clay product and refractory manufacturing,Glass and glass product manufacturing,Cement manufacturing,Ready-mix concrete manufacturing,"Concrete pipe, brick, and block manufacturing",Other concrete product manufacturing,Lime and gypsum product manufacturing,Abrasive product manufacturing,Cut stone and stone product manufacturing,Ground or treated mineral and earth manufacturing,Mineral wool manufacturing,Miscellaneous nonmetallic mineral products,Iron and steel mills and ferroalloy manufacturing,Steel product manufacturing from purchased steel,Secondary smelting and alloying of aluminum,Alumina refining and primary aluminum production,Aluminum product manufacturing from purchased aluminum,Nonferrous Metal (except Aluminum) Smelting and Refining,"Copper rolling, drawing, extruding and alloying","Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",Ferrous metal foundries,Nonferrous metal foundries,Custom roll forming,"All other forging, stamping, and sintering","Metal crown, closure, and other metal stamping (except automotive)",Cutlery and handtool manufacturing,Plate work and fabricated structural product manufacturing,Ornamental and architectural metal products manufacturing,Power boiler and heat exchanger manufacturing,Metal tank (heavy gauge) manufacturing,"Metal can, box, and other metal container (light gauge) manufacturing",Hardware manufacturing,Spring and wire product manufacturing,Machine shops,"Turned product and screw, nut, and bolt manufacturing","Coating, engraving, heat treating and allied activities",Plumbing fixture fitting and trim manufacturing,Valve and fittings other than plumbing,Ball and roller bearing manufacturing,Fabricated pipe and pipe fitting manufacturing,"Ammunition, arms, ordnance, and accessories manufacturing",Other fabricated metal manufacturing,Farm machinery and equipment manufacturing,Lawn and garden equipment manufacturing,Construction machinery manufacturing,Mining and oil and gas field machinery manufacturing,Semiconductor machinery manufacturing,Other industrial machinery manufacturing,Optical instrument and lens manufacturing,Photographic and photocopying equipment manufacturing,Other commercial and service industry machinery manufacturing,Heating equipment (except warm air furnaces) manufacturing,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",Industrial and commercial fan and blower and air purification equipment manufacturing,Industrial mold manufacturing,"Special tool, die, jig, and fixture manufacturing",Machine tool manufacturing,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",Turbine and turbine generator set units manufacturing,"Speed changer, industrial high-speed drive, and gear manufacturing",Mechanical power transmission equipment manufacturing,Other engine equipment manufacturing,Air and gas compressor manufacturing,Pump and pumping equipment manufacturing,Material handling equipment manufacturing,Power-driven handtool manufacturing,Packaging machinery manufacturing,Industrial process furnace and oven manufacturing,Other general purpose machinery manufacturing,Fluid power process machinery,Electronic computer manufacturing,Computer storage device manufacturing,Computer terminals and other computer peripheral equipment manufacturing,Telephone apparatus manufacturing,Broadcast and wireless communications equipment,Other communications equipment manufacturing,Semiconductor and related device manufacturing,Printed circuit assembly (electronic assembly) manufacturing,Other electronic component manufacturing,Electromedical and electrotherapeutic apparatus manufacturing,"Search, detection, and navigation instruments manufacturing",Automatic environmental control manufacturing,Industrial process variable instruments manufacturing,Totalizing fluid meter and counting device manufacturing,Electricity and signal testing instruments manufacturing,Analytical laboratory instrument manufacturing,Irradiation apparatus manufacturing,"Watch, clock, and other measuring and controlling device manufacturing",Audio and video equipment manufacturing,Manufacturing and reproducing magnetic and optical media,Electric lamp bulb and part manufacturing,Lighting fixture manufacturing,Small electrical appliance manufacturing,Household cooking appliance manufacturing,Household refrigerator and home freezer manufacturing,Household laundry equipment manufacturing,Other major household appliance manufacturing,"Power, distribution, and specialty transformer manufacturing",Motor and generator manufacturing,Switchgear and switchboard apparatus manufacturing,Relay and industrial control manufacturing,Storage battery manufacturing,Primary battery manufacturing,Communication and energy wire and cable manufacturing,Wiring device manufacturing,Carbon and graphite product manufacturing,All other miscellaneous electrical equipment and component manufacturing,Automobile manufacturing,Light truck and utility vehicle manufacturing,Heavy duty truck manufacturing,Motor vehicle body manufacturing,Truck trailer manufacturing,Motor home manufacturing,Travel trailer and camper manufacturing,Motor vehicle gasoline engine and engine parts manufacturing,Motor vehicle electrical and electronic equipment manufacturing,Motor vehicle transmission and power train parts manufacturing,Motor vehicle seating and interior trim manufacturing,Motor vehicle metal stamping,Other Motor Vehicle Parts Manufacturing,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",Aircraft manufacturing,Aircraft engine and engine parts manufacturing,Other aircraft parts and auxiliary equipment manufacturing,Guided missile and space vehicle manufacturing,Propulsion units and parts for space vehicles and guided missiles,Railroad rolling stock manufacturing,Ship building and repairing,Boat building,"Motorcycle, bicycle, and parts manufacturing","Military armored vehicle, tank, and tank component manufacturing",All other transportation equipment manufacturing,Wood kitchen cabinet and countertop manufacturing,Upholstered household furniture manufacturing,Nonupholstered wood household furniture manufacturing,Institutional furniture manufacturing,Other household nonupholstered furniture,"Showcase, partition, shelving, and locker manufacturing",Office furniture and custom architectural woodwork and millwork manufacturing,Other furniture related product manufacturing,Surgical and medical instrument manufacturing,Surgical appliance and supplies manufacturing,Dental equipment and supplies manufacturing,Ophthalmic goods manufacturing,Dental laboratories,Jewelry and silverware manufacturing,Sporting and athletic goods manufacturing,"Doll, toy, and game manufacturing",Office supplies (except paper) manufacturing,Sign manufacturing,All other miscellaneous manufacturing,Dog and cat food manufacturing,Other animal food manufacturing,Flour milling and malt manufacturing,Wet corn milling,Fats and oils refining and blending,Soybean and other oilseed processing,Breakfast cereal manufacturing,Sugar and confectionery product manufacturing,Frozen food manufacturing,"Fruit and vegetable canning, pickling, and drying",Cheese manufacturing,"Dry, condensed, and evaporated dairy product manufacturing",Fluid milk and butter manufacturing,Ice cream and frozen dessert manufacturing,Poultry processing,"Animal (except poultry) slaughtering, rendering, and processing",Seafood product preparation and packaging,Bread and bakery product manufacturing,"Cookie, cracker, pasta, and tortilla manufacturing",Snack food manufacturing,Coffee and tea manufacturing,Flavoring syrup and concentrate manufacturing,Seasoning and dressing manufacturing,All other food manufacturing,Soft drink and ice manufacturing,Breweries,Wineries,Distilleries,Tobacco product manufacturing,"Fiber, yarn, and thread mills",Fabric mills,Textile and fabric finishing and fabric coating mills,Carpet and rug mills,Curtain and linen mills,Other textile product mills,Apparel manufacturing,Leather and allied product manufacturing,Pulp mills,Paper mills,Paperboard mills,Paperboard container manufacturing,Paper Bag and Coated and Treated Paper Manufacturing,Stationery product manufacturing,Sanitary paper product manufacturing,All other converted paper product manufacturing,Printing,Support activities for printing,Petroleum refineries,Asphalt paving mixture and block manufacturing,Asphalt shingle and coating materials manufacturing,Other petroleum and coal products manufacturing,Petrochemical manufacturing,Industrial gas manufacturing,Synthetic dye and pigment manufacturing,Other Basic Inorganic Chemical Manufacturing,Other basic organic chemical manufacturing,Plastics material and resin manufacturing,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,Medicinal and botanical manufacturing,Pharmaceutical preparation manufacturing,In-vitro diagnostic substance manufacturing,Biological product (except diagnostic) manufacturing,Fertilizer manufacturing,Pesticide and other agricultural chemical manufacturing,Paint and coating manufacturing,Adhesive manufacturing,Soap and cleaning compound manufacturing,Toilet preparation manufacturing,Printing ink manufacturing,All other chemical product and preparation manufacturing,Plastics packaging materials and unlaminated film and sheet manufacturing,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","Laminated plastics plate, sheet (except packaging), and shape manufacturing",Polystyrene foam product manufacturing,Urethane and other foam product (except polystyrene) manufacturing,Plastics bottle manufacturing,Other plastics product manufacturing,Tire manufacturing,Rubber and plastics hoses and belting manufacturing,Other rubber product manufacturing,Motor vehicle and motor vehicle parts and supplies,Professional and commercial equipment and supplies,Household appliances and electrical and electronic goods ,"Machinery, equipment, and supplies",Other durable goods merchant wholesalers,Drugs and druggists¡¯ sundries,Grocery and related product wholesalers ,Petroleum and petroleum products,Other nondurable goods merchant wholesalers,Wholesale electronic markets and agents and brokers,Customs duties,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Building material and garden equipment and supplies dealers,Health and personal care stores,Gasoline stations,Clothing and clothing accessories stores,Nonstore retailers,All other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Scenic and sightseeing transportation and support activities for transportation,Couriers and messengers,Warehousing and storage,Newspaper publishers,Periodical Publishers,Book publishers,"Directory, mailing list, and other publishers",Software publishers,Motion picture and video industries,Sound recording industries,Radio and television broadcasting,Cable and other subscription programming,Wired telecommunications carriers,Wireless telecommunications carriers (except satellite),"Satellite, telecommunications resellers, and all other telecommunications","Data processing, hosting, and related services",Internet publishing and broadcasting and Web search portals,"News syndicates, libraries, archives and all other information services",Nondepository credit intermediation and related activities,Monetary authorities and depository credit intermediation,Other financial investment activities,Securities and commodity contracts intermediation and brokerage,Direct life insurance carriers,"Insurance carriers, except direct life","Insurance agencies, brokerages, and related activities","Funds, trusts, and other financial vehicles",Owner-occupied housing,Tenant-occupied housing,Other real estate,Automotive equipment rental and leasing,Commercial and industrial machinery and equipment rental and leasing,General and consumer goods rental,Lessors of nonfinancial intangible assets,Legal services,Custom computer programming services,Computer systems design services,"Other computer related services, including facilities management","Accounting, tax preparation, bookkeeping, and payroll services","Architectural, engineering, and related services",Management consulting services,Environmental and other technical consulting services,Scientific research and development services,"Advertising, public relations, and related services",Specialized design services,Photographic services,Veterinary services,"All other miscellaneous professional, scientific, and technical services ",Management of companies and enterprises,Employment services,Services to buildings and dwellings,Office administrative services,Facilities support services,Business support services,Travel arrangement and reservation services,Investigation and security services,Other support services,Waste management and remediation services,Elementary and secondary schools,"Junior colleges, colleges, universities, and professional schools",Other educational services,Offices of physicians,Offices of dentists,Offices of other health practitioners,Outpatient care centers,Medical and diagnostic laboratories,Home health care services,Other ambulatory health care services,Hospitals,Nursing and community care facilities,"Residential mental health, substance abuse, and other residential care facilities",Individual and family services,Child day care services,"Community food, housing, and other relief services, including rehabilitation services",Performing arts companies,Spectator sports,"Independent artists, writers, and performers",Promoters of performing arts and sports and agents for public figures,"Museums, historical sites, zoos, and parks",Amusement parks and arcades,Gambling industries (except casino hotels),Other amusement and recreation industries,Accommodation,Full-service restaurants,Limited-service restaurants,All other food and drinking places,Automotive repair and maintenance,Electronic and precision equipment repair and maintenance,Commercial and industrial machinery and equipment repair and maintenance,Personal and household goods repair and maintenance,Personal care services,Death care services,Dry-cleaning and laundry services,Other personal services,Religious organizations,"Grantmaking, giving, and social advocacy organizations","Civic, social, professional, and similar organizations",Private households,Federal general government (defense),Federal general government (nondefense),Postal service,Federal electric utilities,Other federal government enterprises,State and local government educational services,State and local government hospitals and health services,State and local government other services,State and local government passenger transit,State and local government electric utilities,Other state and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Nonresidential private fixed investment in structures,Change in private inventories,Exports of goods and services,Federal Government defense: Consumption expenditures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national defense: Gross investment in structures,Federal Government nondefense: Consumption expenditures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,Federal nondefense: Gross investment in structures,State and local government consumption expenditures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,State and local: Gross investment in structures,Total use of products
1,,1111A0,1111B0,111200,111300,111400,111900,112120,1121A0,112300,112A00,113000,114000,115000,211000,212100,212230,2122A0,212310,2123A0,213111,21311A,221100,221200,221300,233210,233262,230301,230302,2332A0,233412,2334A0,233230,2332D0,233240,233411,2332C0,321100,321200,321910,3219A0,327100,327200,327310,327320,327330,327390,327400,327910,327991,327992,327993,327999,331110,331200,331314,331313,33131B,331410,331420,331490,331510,331520,332114,33211A,332119,332200,332310,332320,332410,332420,332430,332500,332600,332710,332720,332800,332913,33291A,332991,332996,33299A,332999,333111,333112,333120,333130,333242,33329A,333314,333316,333318,333414,333415,333413,333511,333514,333517,33351B,333611,333612,333613,333618,333912,33391A,333920,333991,333993,333994,33399A,33399B,334111,334112,334118,334210,334220,334290,334413,334418,33441A,334510,334511,334512,334513,334514,334515,334516,334517,33451A,334300,334610,335110,335120,335210,335221,335222,335224,335228,335311,335312,335313,335314,335911,335912,335920,335930,335991,335999,336111,336112,336120,336211,336212,336213,336214,336310,336320,336350,336360,336370,336390,3363A0,336411,336412,336413,336414,33641A,336500,336611,336612,336991,336992,336999,337110,337121,337122,337127,33712N,337215,33721A,337900,339112,339113,339114,339115,339116,339910,339920,339930,339940,339950,339990,311111,311119,311210,311221,311225,311224,311230,311300,311410,311420,311513,311514,31151A,311520,311615,31161A,311700,311810,3118A0,311910,311920,311930,311940,311990,312110,312120,312130,312140,312200,313100,313200,313300,314110,314120,314900,315000,316000,322110,322120,322130,322210,322220,322230,322291,322299,323110,323120,324110,324121,324122,324190,325110,325120,325130,325180,325190,325211,3252A0,325411,325412,325413,325414,325310,325320,325510,325520,325610,325620,325910,3259A0,326110,326120,326130,326140,326150,326160,326190,326210,326220,326290,423100,423400,423600,423800,423A00,424200,424400,424700,424A00,425000,4200ID,441000,445000,452000,444000,446000,447000,448000,454000,4B0000,481000,482000,483000,484000,485000,486000,48A000,492000,493000,511110,511120,511130,5111A0,511200,512100,512200,515100,515200,517110,517210,517A00,518200,519130,5191A0,522A00,52A000,523900,523A00,524113,5241XX,524200,525000,531HSO,531HST,531ORE,532100,532400,532A00,533000,541100,541511,541512,54151A,541200,541300,541610,5416A0,541700,541800,541400,541920,541940,5419A0,550000,561300,561700,561100,561200,561400,561500,561600,561900,562000,611100,611A00,611B00,621100,621200,621300,621400,621500,621600,621900,622000,623A00,623B00,624100,624400,624A00,711100,711200,711500,711A00,712000,713100,713200,713900,721000,722110,722211,722A00,811100,811200,811300,811400,812100,812200,812300,812900,813100,813A00,813B00,814000,S00500,S00600,491000,S00101,S00102,GSLGE,GSLGH,GSLGO,S00201,S00202,S00203,T001,F01000,F02E00,F02N00,F02R00,F02S00,F03000,F04000,F06C00,F06E00,F06N00,F06S00,F07C00,F07E00,F07N00,F07S00,F10C00,F10E00,F10N00,F10S00,T019
1111A0,Oilseed farming,2507,145,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,574,23817,,,,,,,,,,,,,,255,,10,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,1,1,,529,,,59,35,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,-287,,,,,,,,,,27846,,,,,,-3550,25036,,,,,,,,,,,,,49332
1111B0,Grain farming,,7731,,,,207,2154,7141,2002,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463,10313,14266,8609,535,151,669,,5822,314,,,,,,,,2374,849,1224,,,,1456,,3141,,210,,,,,,,,,,,,,,,,,,,,,,,,,30,,,20079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,12,1307,,,,826,227,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,7,,,,,,,,,,2,20,,,,,,,,,0,,,,,,,,,,,,,0,10,0,1,0,,,,,,,,,,,,,,-41,,,,113,0,107,,,,94863,3056,,,,,-7411,19109,,,,,,,,,,,,,109617
111200,Vegetable and melon farming,,,909,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172,583,,,,,,,,,7,113,,21,160,1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,21,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,51,,,,,,,,,0,0,0,,,,,,,,,,0,1,10,289,184,26,,,,,,,,,10,,4,,,,,0,0,175,85,61,,,,5091,32034,,,,,-2703,3160,,,,,,,,,,,,,37581
111300,Fruit and tree nut farming,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,1139,1187,3318,,,,225,,,,183,286,1976,6360,247,582,3229,,,3258,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,0,2,8,9,7,,,,,,,,,3,,,,,,,,0,17,17,23,,,,22382,35150,,,,,-2059,7428,,,,,,,,,,,,,62901
111400,"Greenhouse, nursery, and floriculture production",,,,,3970,,,,,,,,367,,,,,,,,,,,,,,,91,,,220,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,,,,,,,,,,2,,,,,,0,,,,315,,,,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,15,42,1,,689,571,,0,,555,,,27,,,,,,,,,,,,,,0,,,,,,,,,,,0,1,0,0,,,,,0,0,6,,,,,5,0,0,2,31,22,41,,,104,,,,,,,1489,2,,2,,,1,,1,1,0,0,,,,,,,,,,,,,,,,,,13,29,12,1,0,0,0,0,,,,,,,,49,,9,,,,,,,8,,2751,,,,13518,23863,,,,,96,878,,,,,,,,,,,,,38355
111900,Other crop farming,458,223,,,0,596,275,473,,34,,,,,5,1,12,2,6,5,10,,,,14,12,68,218,12,2,144,5,24,24,42,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,708,2,1379,,,,,,1,,,,,8,2198,939,7,2281,48,,38,,,2114,1198,248,,,,,,,,,,,,,,,,,,,,,,12,0,,507,,,27,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,21,,,,,,1,,13,,,,,,,,0,1,,,,,,,,,,0,,0,,,,,,,,1,,6,,0,0,0,,,,,,,,,,,,,,-29,,,,8,,134,,,,14669,5648,,,,,-2466,7426,,,,,,,,,,,,,25277
112120,Dairy cattle and milk production,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16819,8022,17587,390,,,,,,,,,,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,43332,130,,,,,9,137,,,,,,,,,,,,,43608
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",38,225,4,24,12,10,2007,25851,,378,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90318,77,,,,,243,363,,,,,,,,,,,,,91000
112300,Poultry and egg production,10,,,,,1,,,4324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,191,53,,,,151,28742,,,376,457,,,,372,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,131,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,1,45,,,,,,,,,0,0,,,,,,,,,,,,,19,19,39,0,,,,,,,,,,,1,,,,,,,20,116,232,,,,35968,7615,,,,,-215,692,,,,,,,,,,,,,44060
