"date","IEF","SHY","GLD","LQD","TLT","DBC","EEM","VNQ","QQQ","EWJ","IWM","HYG","VGK","SPY"
2008-01-31,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-29,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-31,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-30,0.166666666666667,0.166666666666667,0,0,0,0,0.222222222222222,0,0.222222222222222,0.222222222222222,0,0,0,0
2008-05-30,0.333333333333333,0.333333333333333,0,0,0,0.111111111111111,0,0,0.111111111111111,0,0.111111111111111,0,0,0
2008-06-30,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-31,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-29,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-30,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-31,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-28,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-31,0.166666666666667,0.166666666666667,0,0,0.222222222222222,0,0,0.222222222222222,0,0,0,0.222222222222222,0,0
2009-01-30,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-27,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-31,0.166666666666667,0.166666666666667,0,0,0,0,0.222222222222222,0,0.222222222222222,0,0,0,0.222222222222222,0
2009-04-30,0.25,0.25,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0,0,0
2009-05-29,0.0833333333333333,0.0833333333333333,0,0,0,0.277777777777778,0.277777777777778,0,0,0,0,0,0.277777777777778,0
2009-06-30,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-31,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0
2009-08-31,0.25,0.25,0,0,0,0,0,0.166666666666667,0,0,0,0,0.166666666666667,0.166666666666667
2009-09-30,0.166666666666667,0.166666666666667,0.222222222222222,0,0,0,0.222222222222222,0.222222222222222,0,0,0,0,0,0
2009-10-30,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-30,0,0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0
