Date,PX_LAST,Change,% Change
2017/1/3,3342.227,0,0
2017/1/4,3368.312,26.085,0.780467634
2017/1/5,3367.789,-0.523,-0.015527065
2017/1/6,3347.667,-20.122,-0.597483987
2017/1/9,3363.901,16.234,0.484934732
2017/1/10,3358.272,-5.629,-0.167335483
2017/1/11,3334.495,-23.777,-0.70801293
2017/1/12,3317.624,-16.871,-0.505953675
2017/1/13,3319.912,2.288,0.068965018
2017/1/16,3319.446,-0.466,-0.014036517
2017/1/17,3326.356,6.91,0.208167266
2017/1/18,3339.365,13.009,0.391088627
2017/1/19,3329.289,-10.076,-0.301734012
2017/1/20,3354.889,25.6,0.768932946
2017/1/23,3364.081,9.192,0.273988201
2017/1/24,3364.451,0.37,0.010998546
2017/1/25,3375.904,11.453,0.34041215
2017/1/26,3387.961,12.057,0.357148781
2017/2/3,3364.492,-23.469,-0.692717537
2017/2/6,3373.205,8.713,0.258969259
2017/2/7,3365.685,-7.52,-0.222933382
2017/2/8,3383.288,17.603,0.523013889
2017/2/9,3396.292,13.004,0.38435983
2017/2/10,3413.487,17.195,0.506287445
2017/2/13,3436.275,22.788,0.667587133
2017/2/14,3435.804,-0.471,-0.013706703
2017/2/15,3421.713,-14.091,-0.410122347
2017/2/16,3440.933,19.22,0.561706958
2017/2/17,3421.442,-19.491,-0.566445205
2017/2/20,3471.393,49.951,1.45993999
2017/2/21,3482.823,11.43,0.329262633
2017/2/22,3489.757,6.934,0.199091369
2017/2/23,3473.324,-16.433,-0.470892386
2017/2/24,3473.852,0.528,0.015201576
2017/2/27,3446.223,-27.629,-0.795341886
2017/2/28,3452.81,6.587,0.191136789
2017/3/1,3458.438,5.628,0.162997674
2017/3/2,3435.096,-23.342,-0.674928971
2017/3/3,3427.863,-7.233,-0.210561801
2017/3/6,3446.484,18.621,0.543224744
2017/3/7,3453.957,7.473,0.216829673
2017/3/8,3448.731,-5.226,-0.151304721
2017/3/9,3426.944,-21.787,-0.631739617
2017/3/10,3427.892,0.948,0.027663131
2017/3/13,3458.098,30.206,0.881182954
2017/3/14,3456.693,-1.405,-0.040629271
2017/3/15,3463.644,6.951,0.20108815
