"","naics","share"
"1","1111","0.1153"
"2","1112","0.1268"
"3","1113","0.0223"
"4","1114","0.4424"
"5","1119","0.0622"
"6","1121","0.3305"
"7","1123","0.1272"
"8","112A","0.4068"
"9","1130","0.4609"
"10","1140","0"
"11","1150","0"
"12","2110","0.2617"
"13","2121","0.2198"
"14","2122","0.0643"
"15","2123","0.0702"
"16","2131","0.024"
"17","2211","0.1026"
"18","2212","0.0003"
"19","2213","0.0238"
"20","2303","0.0003"
"21","2332","0"
"22","2334","0"
"23","3111","0.0064"
"24","3112","0.2935"
"25","3113","0.3205"
"26","3114","0.1314"
"27","3115","0.28"
"28","3116","0.2202"
"29","3117","0.0887"
"30","3118","0.0279"
"31","3119","0.0183"
"32","3121","0.0735"
"33","3122","0.1244"
"34","3131","0.0491"
"35","3132","0.0511"
"36","3133","0.1068"
"37","3141","0.0299"
"38","3149","0.0158"
"39","3150","0.1823"
"40","3160","0.2365"
"41","3211","0.2791"
"42","3212","0.2029"
"43","3219","0.0809"
"44","3221","0.0661"
"45","3222","0.0433"
"46","3231","0.052"
"47","3241","0.0522"
"48","3251","0.538"
"49","3252","0.0982"
"50","3253","0.3206"
"51","3254","0.4931"
"52","3255","0.0208"
"53","3256","0.191"
"54","3259","0.0922"
"55","3261","0.1384"
"56","3262","0.1489"
"57","3271","0.1322"
"58","3272","0.2319"
"59","3273","0.2048"
"60","3274","0.0044"
"61","3279","0.1707"
"62","3311","0.2162"
"63","3312","0.0148"
"64","3313","0.4767"
"65","3314","0.6383"
"66","3315","0.0203"
"67","3321","0.0773"
"68","3322","0.0033"
"69","3323","0.0592"
"70","3324","0.1127"
"71","3325","0.1913"
"72","3326","0.0781"
"73","3327","0.0842"
"74","3328","0.0401"
"75","3329","0.1552"
"76","3331","0.0215"
"77","3332","0.072"
"78","3333","0.0652"
"79","3334","0.257"
"80","3335","0.0725"
"81","3336","0.198"
"82","3339","0.106"
"83","3341","0.1403"
"84","3342","0.4434"
"85","3343","0.1372"
"86","3344","0.2635"
"87","3345","0.163"
"88","3346","0.1417"
"89","3351","0.0709"
"90","3352","0.007"
"91","3353","0.1624"
"92","3359","0.0723"
"93","3361","0.0051"
"94","3362","0.1199"
"95","3363","0.1808"
"96","3364","0.4927"
"97","3365","0.2598"
"98","3366","0.0196"
"99","3369","0.2351"
"100","3371","0.0087"
"101","3372","0.056"
"102","3379","0.0648"
"103","3391","0.116"
"104","3399","0.1246"
"105","4200","NaN"
"106","4231","0"
"107","4234","0.0094"
"108","4236","0.0053"
"109","4238","0.0008"
"110","423A","0.0016"
"111","4242","0.0327"
"112","4244","0.0021"
"113","4247","0"
"114","424A","0.0026"
"115","4250","0"
"116","4410","0"
"117","4440","0"
"118","4450","0"
"119","4460","0"
"120","4470","0"
"121","4480","0"
"122","4520","0"
"123","4540","0.0021"
"124","4810","0.0016"
"125","4820","0.0014"
"126","4830","0"
"127","4840","0.024"
"128","4850","0"
"129","4860","0"
"130","48A0","0.3096"
"131","4910","0"
"132","4920","0.0244"
"133","4930","0.1685"
"134","4B00","0"
"135","5111","0.0599"
"136","5112","0.0966"
"137","5121","0.3653"
"138","5122","0.251"
"139","5151","0.6759"
"140","5152","0.0542"
"141","5171","0.1812"
"142","5172","0.0863"
"143","517A","0.021"
"144","5182","0.0162"
"145","5191","0.1069"
"146","522A","0.081"
"147","5239","0.0388"
"148","523A","0.0842"
"149","5241","0.2412"
"150","5242","0.8788"
"151","5250","0.0662"
"152","52A0","0.0982"
"153","531H","0"
"154","531O","0.208"
"155","5321","0.0079"
"156","5324","0.0407"
"157","532A","0.0018"
"158","5330","0.0231"
"159","5411","0.0325"
"160","5412","0.0565"
"161","5413","0.109"
"162","5414","0.0147"
"163","5415","0.0508"
"164","5416","0.0623"
"165","5417","0.0688"
"166","5418","0.0811"
"167","5419","0.0211"
"168","5500","0.0004"
"169","5611","0.0101"
"170","5612","0.0111"
"171","5613","0.1695"
"172","5614","0.012"
"173","5615","0.0126"
"174","5616","0.0104"
"175","5617","0.0147"
"176","5619","0.0061"
"177","5620","0.1913"
"178","6111","0"
"179","611A","0.0347"
"180","611B","0.0475"
"181","6211","0"
"182","6212","0"
"183","6213","0"
"184","6214","0"
"185","6215","0"
"186","6216","0"
"187","6219","0"
"188","6220","0.0006"
"189","623A","0"
"190","623B","0"
"191","6241","0"
"192","6244","0"
"193","624A","0"
"194","7111","0.0005"
"195","7112","0.3292"
"196","7115","0"
"197","711A","0.1444"
"198","7120","0"
"199","7131","0"
"200","7132","0"
"201","7139","0.0001"
"202","7210","0.0042"
"203","7221","0.0052"
"204","7222","0.0035"
"205","722A","0.006"
"206","8111","0.0026"
"207","8112","0.0132"
"208","8113","0.0059"
"209","8114","0.0039"
"210","8121","0.0164"
"211","8122","0"
"212","8123","0.1288"
"213","8129","0"
"214","8131","0"
"215","813A","0.0042"
"216","813B","0.0588"
"217","8140","NaN"
"218","F010","0"
"219","F02E","0"
"220","F02N","0"
"221","F02R","0"
"222","F02S","0"
"223","F030","0"
"224","F040","0"
"225","F06C","0"
"226","F06E","1"
